depth;potential.temperature;salinity
9.25;23.1121;34.5576
9.25;22.4545;34.567
9.25;23.6392;34.5793
9.25;22.1488;34.5809
9.25;21.3003;34.5895
9.25;23.5407;34.6005
9.25;23.6652;34.6168
9.25;23.6504;34.6297
9.25;23.6589;34.6406
9.25;23.7189;34.6473
9.25;23.8166;34.6611
9.5;26.213;33.7971
9.5;26.1417;33.8047
9.5;25.7056;33.8431
9.5;25.3005;33.8968
9.5;25.1186;33.9017
9.5;25.1843;33.9303
9.5;25.2097;33.9337
9.5;25.1988;33.948
9.5;25.0956;34.0107
9.5;24.9397;34.0695
9.5;25.0938;34.0782
9.5;24.9279;34.0984
9.5;24.6891;34.1176
9.5;24.0303;34.1351
9.5;24.1036;34.1858
9.5;24.4096;34.2217
9.5;24.2796;34.2297
9.5;24.7975;34.2303
9.5;25.1144;34.2342
9.5;25.2708;34.2395
9.5;24.5276;34.2759
9.5;24.3802;34.2781
9.5;23.9997;34.2956
9.5;24.2936;34.3308
9.5;24.5662;34.3912
9.5;24.3003;34.3978
9.5;23.7527;34.4046
9.5;23.3556;34.4609
9.5;22.9791;34.4628
9.5;23.338;34.4679
9.5;23.1822;34.4685
9.5;24.3356;34.475
9.5;23.4584;34.4821
9.5;23.5279;34.4853
9.5;23.4411;34.4869
9.5;21.991;34.5321
9.5;23.1123;34.5575
9.5;22.4546;34.5669
9.5;23.6384;34.5792
9.5;22.1489;34.5809
9.5;21.2993;34.5903
9.5;23.5414;34.6007
9.5;23.6649;34.6168
9.5;23.6472;34.6302
9.5;23.6568;34.6398
9.5;23.7195;34.6459
9.5;23.8163;34.6612
9.75;26.2124;33.7971
9.75;26.141;33.805
9.75;25.7064;33.8426
9.75;25.2994;33.8966
9.75;25.123;33.9012
9.75;25.1831;33.9305
9.75;25.2093;33.9338
9.75;25.2005;33.9481
9.75;25.0945;34.0108
9.75;24.8677;34.0606
9.75;25.0834;34.0768
9.75;24.9202;34.0986
9.75;24.6883;34.1188
9.75;24.0232;34.1358
9.75;24.1039;34.1857
9.75;24.4162;34.2184
9.75;24.277;34.2295
9.75;24.7931;34.2295
9.75;25.1145;34.2344
9.75;25.183;34.2384
9.75;24.4836;34.2739
9.75;24.3791;34.2783
9.75;23.9925;34.297
9.75;24.2932;34.3312
9.75;24.5658;34.3913
9.75;24.2133;34.4006
9.75;23.703;34.404
9.75;23.3503;34.4605
9.75;22.9738;34.4623
9.75;23.3374;34.4678
9.75;23.182;34.4687
9.75;24.3344;34.4741
9.75;23.436;34.4818
9.75;23.5292;34.4853
9.75;23.4414;34.4859
9.75;21.9938;34.5314
9.75;23.1128;34.5574
9.75;22.4536;34.5671
9.75;23.6377;34.5793
9.75;22.1493;34.5803
9.75;21.3035;34.5901
9.75;23.5439;34.6004
9.75;23.6649;34.6169
9.75;23.6522;34.63
9.75;23.6445;34.6396
9.75;23.719;34.6472
9.75;23.8161;34.6611
10;26.1926;33.7977
10;26.1326;33.8059
10;25.7058;33.8427
10;25.3009;33.8973
10;25.1207;33.9015
10;25.1813;33.9301
10;25.2095;33.9338
10;25.2008;33.9477
10;25.0941;34.0111
10;24.8018;34.0652
10;24.9927;34.067
10;24.9164;34.0984
10;24.682;34.1179
10;24.0211;34.1364
10;24.1046;34.1859
10;24.4098;34.2188
10;24.7904;34.2292
10;24.274;34.2293
10;25.1147;34.2344
10;25.1366;34.239
10;24.4546;34.2759
10;24.3805;34.2781
10;23.9868;34.2977
10;24.2961;34.331
10;24.5655;34.3914
10;24.1738;34.4026
10;23.6988;34.4091
10;23.3424;34.4595
10;22.9784;34.4613
10;23.3363;34.4678
10;23.1805;34.4688
10;24.3148;34.4721
10;23.4147;34.4822
10;23.5319;34.4854
10;23.4375;34.4863
10;21.9941;34.5313
10;23.1165;34.5573
10;22.4535;34.5671
10;23.6428;34.5791
10;22.15;34.5801
10;21.3089;34.5895
10;23.5456;34.6004
10;23.6647;34.6166
10;23.6455;34.6296
10;23.6444;34.6397
10;23.719;34.6474
10;23.8167;34.6611
10.25;26.187;33.7984
10.25;26.1353;33.8058
10.25;25.7049;33.8428
10.25;25.2991;33.8966
10.25;25.1205;33.9016
10.25;25.1772;33.9296
10.25;25.2095;33.9337
10.25;25.201;33.9477
10.25;25.0942;34.011
10.25;24.7452;34.0629
10.25;24.94;34.0688
10.25;24.9104;34.0988
10.25;24.6779;34.1177
10.25;24.0131;34.1366
10.25;24.1057;34.1858
10.25;24.4102;34.2188
10.25;24.7873;34.2287
10.25;24.2703;34.2304
10.25;25.1149;34.2343
10.25;25.1192;34.2375
10.25;24.4238;34.2755
10.25;24.3793;34.2782
10.25;23.979;34.2991
10.25;24.2869;34.331
10.25;24.5637;34.3913
10.25;24.166;34.4027
10.25;23.7019;34.4073
10.25;23.2939;34.4563
10.25;22.9641;34.4603
10.25;23.3369;34.4679
10.25;23.182;34.4687
10.25;24.3017;34.4725
10.25;23.4037;34.483
10.25;23.5318;34.4851
10.25;23.4215;34.4851
10.25;21.9943;34.5312
10.25;23.1145;34.5572
10.25;22.4526;34.5668
10.25;23.6427;34.579
10.25;22.1499;34.5803
10.25;21.3103;34.5893
10.25;23.5458;34.6004
10.25;23.6649;34.6168
10.25;23.6482;34.6299
10.25;23.6415;34.6393
10.25;23.7202;34.6475
10.25;23.8147;34.6608
10.5;26.1843;33.7987
10.5;26.1315;33.8062
10.5;25.7046;33.8426
10.5;25.2993;33.897
10.5;25.1208;33.9015
10.5;25.1747;33.9291
10.5;25.2098;33.9337
10.5;25.1993;33.9475
10.5;25.0939;34.0112
10.5;24.7163;34.0664
10.5;24.919;34.0697
10.5;24.9127;34.0993
10.5;24.6765;34.1191
10.5;24.0127;34.1376
10.5;24.1063;34.1856
10.5;24.3923;34.2159
10.5;24.7777;34.2277
10.5;24.252;34.2281
10.5;25.1149;34.2343
10.5;25.067;34.2345
10.5;24.3958;34.2771
10.5;24.3778;34.2782
10.5;23.9738;34.3
10.5;24.2744;34.3309
10.5;24.5654;34.3916
10.5;24.1643;34.4025
10.5;23.7032;34.4072
10.5;23.2544;34.4583
10.5;22.9538;34.4593
10.5;23.3377;34.4679
10.5;23.1813;34.4686
10.5;24.2953;34.4723
10.5;23.3847;34.4805
10.5;23.5268;34.4856
10.5;23.4116;34.4864
10.5;21.9932;34.5312
10.5;23.1122;34.5575
10.5;22.4535;34.567
10.5;23.6426;34.5792
10.5;22.1506;34.5801
10.5;21.3105;34.5893
10.5;23.5455;34.6005
10.5;23.665;34.6168
10.5;23.6405;34.6299
10.5;23.6392;34.6396
10.5;23.7191;34.6466
10.5;23.8149;34.661
10.75;26.1822;33.7989
10.75;26.1351;33.8056
10.75;25.7044;33.8428
10.75;25.2971;33.8963
10.75;25.1206;33.9015
10.75;25.1717;33.9287
10.75;25.2101;33.9337
10.75;25.1959;33.9481
10.75;25.0938;34.0111
10.75;24.7081;34.0689
10.75;24.9139;34.0696
10.75;24.9021;34.0979
10.75;24.6766;34.1201
10.75;24.0197;34.1374
10.75;24.1073;34.1859
10.75;24.3165;34.2161
10.75;24.7692;34.2274
10.75;24.2507;34.2306
10.75;25.0152;34.2337
10.75;25.1146;34.2343
10.75;24.3809;34.2768
10.75;24.3789;34.2784
10.75;24.1554;34.2886
10.75;23.9696;34.3002
10.75;24.2696;34.3313
10.75;24.5694;34.3914
10.75;24.1628;34.4022
10.75;23.6923;34.4071
10.75;22.9448;34.4582
10.75;23.2247;34.4589
10.75;23.3374;34.4679
10.75;23.1794;34.4689
10.75;24.2903;34.4719
10.75;23.3688;34.4809
10.75;23.5189;34.4849
10.75;23.4157;34.4863
10.75;21.9916;34.5317
10.75;23.1127;34.5575
10.75;22.4504;34.5672
10.75;23.6425;34.5791
10.75;22.1501;34.5805
10.75;21.3098;34.5894
10.75;23.5448;34.6009
10.75;23.6652;34.6165
10.75;23.6423;34.6306
10.75;23.6414;34.6387
10.75;23.7147;34.648
10.75;23.8147;34.6606
11;26.1826;33.799
11;26.1325;33.8059
11;25.7039;33.8426
11;25.2937;33.8967
11;25.1202;33.9016
11;25.1711;33.9288
11;25.2104;33.9337
11;25.1963;33.9479
11;25.0932;34.0113
11;24.9024;34.0686
11;24.701;34.0712
11;24.896;34.0991
11;24.6759;34.1203
11;24.0176;34.1355
11;24.1066;34.1855
11;24.2451;34.2168
11;24.2114;34.2269
11;24.7639;34.2274
11;24.978;34.2342
11;25.1148;34.2343
11;24.4236;34.2755
11;24.3818;34.2783
11;24.1556;34.2884
11;23.9631;34.3009
11;24.2683;34.3313
11;24.5534;34.391
11;24.16;34.4023
11;23.6826;34.4071
11;22.9117;34.4544
11;23.1917;34.4594
11;23.3152;34.4673
11;23.338;34.4677
11;23.1792;34.4688
11;24.2861;34.4717
11;23.382;34.482
11;23.5116;34.4851
11;21.9924;34.5314
11;23.1125;34.5573
11;22.4503;34.5669
11;23.6425;34.5791
11;22.15;34.5804
11;21.3087;34.5894
11;23.545;34.6011
11;23.6654;34.6166
11;23.6386;34.63
11;23.6381;34.639
11;23.686;34.6485
11;23.8136;34.6609
11.25;26.1826;33.7987
11.25;26.1314;33.8061
11.25;25.7033;33.8425
11.25;25.2966;33.8968
11.25;25.1193;33.9015
11.25;25.1715;33.9288
11.25;25.2095;33.9335
11.25;25.1943;33.9479
11.25;25.0927;34.0116
11.25;24.8869;34.0661
11.25;24.6927;34.0722
11.25;24.8939;34.0987
11.25;24.6761;34.1209
11.25;24.0069;34.1382
11.25;24.1059;34.1857
11.25;24.2484;34.2187
11.25;24.7617;34.2275
11.25;24.1868;34.2296
11.25;24.9211;34.231
